Time,x_d,y_d,theta_d,delta_d,v_d,delta_d_dot
0,0,0,-0,-1.1071487,0.1047198,-0.0013181
0.0500417,0.0052403,-1.37e-05,-0.0052406,-1.1072146,0.1047154,-0.0039531
0.1000834,0.0104799,-5.49e-05,-0.0104824,-1.1074123,0.1047025,-0.0065851
0.1501251,0.0157185,-0.0001236,-0.0157269,-1.1077415,0.1046809,-0.0092119
0.2001668,0.0209553,-0.0002197,-0.0209752,-1.1082021,0.1046508,-0.0118315
0.2502085,0.0261898,-0.0003432,-0.0262288,-1.1087937,0.104612,-0.0144417
0.3002502,0.0314214,-0.0004943,-0.0314888,-1.1095158,0.1045646,-0.0170406
0.3502919,0.0366496,-0.0006727,-0.0367566,-1.1103678,0.1045086,-0.019626
0.4003336,0.0418737,-0.0008786,-0.0420335,-1.1113491,0.1044441,-0.0221959
0.4503753,0.0470933,-0.001112,-0.0473209,-1.1124589,0.1043711,-0.0247482
0.500417,0.0523077,-0.0013728,-0.05262,-1.1136963,0.1042895,-0.0272809
0.5504587,0.0575163,-0.0016609,-0.0579321,-1.1150604,0.1041994,-0.0297919
0.6005004,0.0627186,-0.0019766,-0.0632586,-1.11655,0.1041009,-0.0322792
0.6505421,0.067914,-0.0023196,-0.0686009,-1.1181639,0.1039939,-0.0347407
0.7005838,0.073102,-0.00269,-0.0739602,-1.119901,0.1038785,-0.0371745
0.7506255,0.0782819,-0.0030878,-0.079338,-1.1217597,0.1037547,-0.0395784
0.8006672,0.0834533,-0.003513,-0.0847355,-1.1237386,0.1036226,-0.0419504
0.8507089,0.0886154,-0.0039655,-0.0901543,-1.1258361,0.1034822,-0.0442887
0.9007506,0.0937679,-0.0044454,-0.0955956,-1.1280505,0.1033336,-0.0465911
0.9507923,0.09891,-0.0049527,-0.1010608,-1.1303801,0.1031768,-0.0488557
1.000834,0.1040413,-0.0054872,-0.1065514,-1.1328229,0.1030118,-0.0510806
1.0508757,0.1091611,-0.0060491,-0.1120688,-1.1353769,0.1028387,-0.0532639
1.1009174,0.114269,-0.0066383,-0.1176143,-1.1380401,0.1026576,-0.0554035
1.1509591,0.1193643,-0.0072547,-0.1231896,-1.1408103,0.1024685,-0.0574978
1.2010008,0.1244465,-0.0078984,-0.1287959,-1.1436852,0.1022714,-0.0595448
1.2510425,0.129515,-0.0085694,-0.1344349,-1.1466624,0.1020665,-0.0615428
1.3010842,0.1345693,-0.0092676,-0.1401079,-1.1497396,0.1018538,-0.0634899
1.3511259,0.1396088,-0.009993,-0.1458165,-1.1529141,0.1016334,-0.0653845
