Time,x_d,y_d,theta_d,delta_d,v_d,delta_d_dot
0,0,0,-0,-0.1973956,1.0471976,-0.0006338
0.0500417,0.0524026,-0.0001373,-0.0052406,-0.1974272,1.0471544,-0.0019017
0.1000834,0.1047994,-0.0005492,-0.0104824,-0.1975223,1.047025,-0.0031711
0.1501251,0.1571847,-0.0012357,-0.0157269,-0.1976809,1.0468094,-0.0044427
0.2001668,0.2095528,-0.0021968,-0.0209752,-0.197903,1.0465077,-0.0057175
0.2502085,0.2618978,-0.0034325,-0.0262288,-0.1981889,1.0461198,-0.0069965
0.3002502,0.3142141,-0.0049426,-0.0314888,-0.1985387,1.0456461,-0.0082805
0.3502919,0.3664959,-0.0067273,-0.0367566,-0.1989527,1.0450865,-0.0095704
0.4003336,0.4187373,-0.0087863,-0.0420335,-0.1994313,1.0444413,-0.0108672
0.4503753,0.4709328,-0.0111198,-0.0473209,-0.1999746,1.0437107,-0.0121717
0.500417,0.5230766,-0.0137275,-0.05262,-0.2005832,1.0428948,-0.013485
0.5504587,0.5751629,-0.0166095,-0.0579321,-0.2012575,1.041994,-0.014808
0.6005004,0.6271861,-0.0197656,-0.0632586,-0.2019979,1.0410085,-0.0161415
0.6505421,0.6791403,-0.0231958,-0.0686009,-0.2028049,1.0399386,-0.0174865
0.7005838,0.73102,-0.0269,-0.0739602,-0.2036793,1.0387847,-0.0188439
0.7506255,0.7828193,-0.0308781,-0.079338,-0.2046215,1.0375471,-0.0202147
0.8006672,0.8345327,-0.0351299,-0.0847355,-0.2056322,1.0362261,-0.0215998
0.8507089,0.8861543,-0.0396554,-0.0901543,-0.2067122,1.0348222,-0.0230001
0.9007506,0.9376787,-0.0444544,-0.0955956,-0.2078622,1.0333359,-0.0244166
0.9507923,0.9891,-0.0495267,-0.1010608,-0.209083,1.0317676,-0.0258503
1.000834,1.0404127,-0.0548724,-0.1065514,-0.2103755,1.0301178,-0.027302
1.0508757,1.0916112,-0.0604911,-0.1120688,-0.2117406,1.0283869,-0.0287727
1.1009174,1.1426897,-0.0663828,-0.1176143,-0.2131793,1.0265757,-0.0302633
1.1509591,1.1936427,-0.0725473,-0.1231896,-0.2146924,1.0246846,-0.0317748
1.2010008,1.2444646,-0.0789844,-0.1287959,-0.2162812,1.0227142,-0.0333081
1.2510425,1.2951497,-0.0856939,-0.1344349,-0.2179466,1.0206652,-0.0348642
1.3010842,1.3456927,-0.0926758,-0.1401079,-0.2196898,1.0185382,-0.0364439
1.3511259,1.3960878,-0.0999296,-0.1458165,-0.221512,1.016334,-0.0380481
1.4011676,1.4463295,-0.1074554,-0.1515623,-0.2234144,1.0140533,-0.0396779
1.4512093,1.4964124,-0.1152528,-0.1573467,-0.2253983,1.0116967,-0.041334
1.501251,1.5463309,-0.1233216,-0.1631713,-0.227465,1.0092652,-0.0430173
1.5512927,1.5960795,-0.1316617,-0.1690377,-0.2296158,1.0067595,-0.0447288
1.6013344,1.6456529,-0.1402728,-0.1749475,-0.2318523,1.0041805,-0.0464691
1.6513761,1.6950454,-0.1491546,-0.1809024,-0.2341757,1.001529,-0.0482393
